Tick, NumOfGoat, NumOfGrass 
0, 20, 6
1, 20, 12
2, 20, 15
3, 20, 20
4, 20, 26
5, 20, 30
6, 20, 33
7, 20, 33
8, 20, 37
9, 20, 38
10, 20, 38
11, 20, 38
12, 20, 39
13, 20, 39
14, 20, 40
15, 20, 42
16, 20, 45
17, 20, 48
18, 20, 52
19, 20, 54
20, 20, 53
21, 20, 53
22, 20, 53
23, 20, 51
24, 20, 49
25, 17, 51
26, 17, 50
27, 17, 51
28, 17, 53
29, 17, 53
30, 17, 54
31, 17, 56
32, 17, 58
33, 17, 57
34, 17, 60
35, 17, 62
36, 17, 62
37, 17, 61
38, 17, 63
39, 17, 64
40, 16, 62
41, 16, 62
42, 16, 61
43, 16, 62
44, 16, 63
45, 16, 62
46, 16, 62
47, 16, 66
48, 16, 61
49, 16, 60
50, 16, 60
51, 16, 59
52, 16, 60
53, 16, 59
54, 16, 61
55, 16, 61
56, 16, 60
57, 16, 60
58, 16, 59
59, 16, 61
60, 16, 63
61, 16, 63
62, 16, 60
63, 16, 57
64, 16, 58
65, 16, 60
66, 16, 61
67, 16, 61
68, 16, 60
69, 16, 62
70, 16, 62
71, 16, 61
72, 16, 60
73, 16, 62
74, 16, 64
75, 16, 64
76, 16, 64
77, 17, 64
78, 17, 62
79, 17, 63
80, 17, 65
81, 17, 66
82, 17, 62
83, 17, 64
84, 18, 68
85, 18, 68
86, 18, 68
87, 17, 67
88, 17, 67
89, 17, 69
90, 17, 70
91, 17, 72
92, 17, 70
93, 17, 70
94, 17, 67
95, 18, 68
96, 18, 68
97, 18, 64
98, 19, 65
99, 20, 65
100, 20, 68
101, 21, 68
102, 21, 67
103, 21, 65
104, 21, 63
105, 21, 61
106, 22, 61
107, 22, 63
108, 21, 65
109, 21, 65
110, 21, 64
111, 20, 63
112, 20, 64
113, 20, 66
114, 20, 66
115, 19, 64
116, 19, 63
117, 19, 63
118, 19, 65
119, 19, 68
120, 19, 69
121, 19, 69
122, 19, 70
123, 19, 70
124, 20, 71
125, 20, 70
126, 20, 68
127, 20, 65
128, 20, 64
129, 20, 63
130, 20, 63
131, 20, 63
132, 20, 65
133, 20, 65
134, 19, 66
135, 19, 67
136, 19, 66
137, 19, 62
138, 20, 60
139, 20, 59
140, 20, 58
141, 20, 61
142, 20, 60
143, 20, 58
144, 20, 61
145, 20, 57
146, 20, 61
147, 20, 61
148, 19, 63
149, 19, 65
150, 19, 63
151, 19, 65
152, 19, 63
153, 19, 58
154, 19, 57
155, 19, 57
156, 19, 55
157, 19, 57
158, 20, 56
159, 20, 56
160, 20, 58
161, 20, 60
162, 20, 62
163, 20, 61
164, 20, 63
165, 20, 62
166, 21, 64
167, 22, 61
168, 22, 62
169, 23, 60
170, 25, 57
171, 25, 59
172, 26, 62
173, 26, 61
174, 26, 60
175, 26, 60
176, 27, 61
177, 27, 59
178, 26, 58
179, 25, 60
180, 24, 62
181, 24, 61
182, 23, 60
183, 23, 63
184, 23, 62
185, 23, 65
186, 23, 64
187, 24, 63
188, 24, 62
189, 24, 61
190, 26, 59
191, 27, 59
192, 27, 60
193, 27, 61
194, 28, 61
195, 29, 61
196, 30, 61
197, 30, 61
198, 30, 62
199, 30, 62
200, 31, 60
201, 31, 59
202, 31, 60
203, 31, 58
204, 32, 62
205, 31, 59
206, 31, 58
207, 31, 55
208, 32, 55
209, 32, 57
210, 30, 59
211, 29, 60
212, 30, 59
213, 30, 59
214, 30, 62
215, 31, 63
216, 32, 60
217, 32, 63
218, 32, 59
219, 32, 59
220, 33, 60
221, 33, 59
222, 34, 58
223, 34, 61
224, 34, 59
